"PRK": Xmin=124.32395   ;Xmax=130.69742   ;Ymin=37.67138   ;Ymax=43.0061    ;
"PRT": Xmin=-31.28903   ;Xmax=-6.19045    ;Ymin=32.6375    ;Ymax=42.15067   ;
"PRY": Xmin=-62.64377   ;Xmax=-54.2439    ;Ymin=-27.58472  ;Ymax=-19.29681  ;
"PYF": Xmin=-151.49777  ;Xmax=-138.80975  ;Ymin=-17.87083  ;Ymax=-8.7782    ;
"QAT": Xmin=50.75194    ;Xmax=51.61583    ;Ymin=24.55604   ;Ymax=26.1525    ;
"REU": Xmin=55.22055    ;Xmax=55.85305    ;Ymin=-21.37389  ;Ymax=-20.85653  ;
"ROU": Xmin=20.26102    ;Xmax=29.67222    ;Ymin=43.62331   ;Ymax=48.26389   ;
"RUS": Xmin=25          ;Xmax=180         ;Ymin=41.19658   ;Ymax=81.85193   ;
"RWA": Xmin=28.85444    ;Xmax=30.89326    ;Ymin=-2.82549   ;Ymax=-1.05445   ;
"SAU": Xmin=34.57215    ;Xmax=55.66611    ;Ymin=15.61694   ;Ymax=32.15494   ;
"SDN": Xmin=21.8291     ;Xmax=38.6075     ;Ymin=3.49339    ;Ymax=22.23222   ;
"SEN": Xmin=-17.53278   ;Xmax=-11.36993   ;Ymin=12.30175   ;Ymax=16.69062   ;
"SGP": Xmin=103.64095   ;Xmax=103.99795   ;Ymin=1.25903    ;Ymax=1.44528    ;
"SHN": Xmin=-5.79278    ;Xmax=-5.64528    ;Ymin=-16.02195  ;Ymax=-15.90375  ;
"SLB": Xmin=155.67129   ;Xmax=166.93184   ;Ymin=-11.84583  ;Ymax=-6.60552   ;
"SLE": Xmin=-13.29561   ;Xmax=-10.26431   ;Ymin=6.92361    ;Ymax=9.9975     ;
"SLV": Xmin=-90.10806   ;Xmax=-87.69467   ;Ymin=13.15639   ;Ymax=14.43198   ;
"SMR": Xmin=12.40694    ;Xmax=12.51111    ;Ymin=43.89868   ;Ymax=43.98687   ;
"SOM": Xmin=40.98861    ;Xmax=51.41132    ;Ymin=-1.67487   ;Ymax=11.97917   ;
"SPM": Xmin=-56.39778   ;Xmax=-56.23264   ;Ymin=46.77985   ;Ymax=47.13583   ;
"STP": Xmin=6.46514     ;Xmax=7.46347     ;Ymin=0.01833    ;Ymax=1.70125    ;
"SUR": Xmin=-58.0714    ;Xmax=-53.98611   ;Ymin=1.83625    ;Ymax=6.00181    ;
"SVK": Xmin=16.84472    ;Xmax=22.55805    ;Ymin=47.7375    ;Ymax=49.60083   ;
"SVN": Xmin=13.38347    ;Xmax=16.60787    ;Ymin=45.42582   ;Ymax=46.87625   ;
"SWE": Xmin=11.11333    ;Xmax=24.16701    ;Ymin=55.33917   ;Ymax=69.0603    ;
"SWZ": Xmin=30.79833    ;Xmax=32.1334     ;Ymin=-27.31639  ;Ymax=-25.72834  ;
"SYC": Xmin=46.20569    ;Xmax=55.54055    ;Ymin=-9.46306   ;Ymax=-4.55167   ;
"SYR": Xmin=35.61446    ;Xmax=42.37833    ;Ymin=32.31361   ;Ymax=37.29054   ;
"TCA": Xmin=-72.03146   ;Xmax=-71.63362   ;Ymin=21.73972   ;Ymax=21.95778   ;
"TCD": Xmin=13.46194    ;Xmax=24.00275    ;Ymin=7.45854    ;Ymax=23.45055   ;
"TGO": Xmin=-0.14976    ;Xmax=1.7978      ;Ymin=6.10055    ;Ymax=11.13854   ;
"THA": Xmin=97.34727    ;Xmax=105.63929   ;Ymin=5.63347    ;Ymax=20.45458   ;
"TJK": Xmin=67.3647     ;Xmax=75.18748    ;Ymin=36.67184   ;Ymax=41.04926   ;
"TKL": Xmin=-171.86272  ;Xmax=-171.84376  ;Ymin=-9.21889   ;Ymax=-9.17063   ;
"TKM": Xmin=52.44007    ;Xmax=66.67088    ;Ymin=35.14599   ;Ymax=42.79617   ;
"TON": Xmin=-175.36     ;Xmax=-173.90683  ;Ymin=-21.26806  ;Ymax=-18.56806  ;
"TTO": Xmin=-61.9216    ;Xmax=-60.52084   ;Ymin=10.04035   ;Ymax=11.34555   ;
"TUN": Xmin=7.49222     ;Xmax=11.58167    ;Ymin=30.23439   ;Ymax=37.34041   ;
"TUR": Xmin=25.66583    ;Xmax=44.82055    ;Ymin=35.81844   ;Ymax=42.10999   ;
"TUV": Xmin=176.29526   ;Xmax=179.23228   ;Ymin=-8.56129   ;Ymax=-6.08944   ;
"TZA": Xmin=29.34083    ;Xmax=40.43681    ;Ymin=-11.74042  ;Ymax=-0.99722   ;
"UGA": Xmin=29.5743     ;Xmax=35.00972    ;Ymin=-1.47611   ;Ymax=4.22278    ;
"UKR": Xmin=22.15144    ;Xmax=40.17874    ;Ymin=44.37915   ;Ymax=52.3786    ;
"URY": Xmin=-58.43861   ;Xmax=-53.0983    ;Ymin=-34.94382  ;Ymax=-30.09667  ;
"USA": Xmin=-178.21655  ;Xmax=-66         ;Ymin=18.92548   ;Ymax=71.35144   ;
"UZB": Xmin=55.99749    ;Xmax=73.16755    ;Ymin=37.18499   ;Ymax=45.57059   ;
"VCT": Xmin=-61.28014   ;Xmax=-61.12029   ;Ymin=13.13028   ;Ymax=13.38319   ;
"VEN": Xmin=-73.37807   ;Xmax=-59.80306   ;Ymin=0.64916    ;Ymax=12.1975    ;
"VGB": Xmin=-64.69848   ;Xmax=-64.32452   ;Ymin=18.38389   ;Ymax=18.50486   ;
"VIR": Xmin=-64.89612   ;Xmax=-64.56258   ;Ymin=17.67667   ;Ymax=17.7925    ;
"VNM": Xmin=102.14075   ;Xmax=109.46484   ;Ymin=8.55923    ;Ymax=23.32416   ;
"VUT": Xmin=166.52164   ;Xmax=169.89386   ;Ymin=-20.25417  ;Ymax=-13.70722  ;
"WLF": Xmin=-178.19028  ;Xmax=-176.12193  ;Ymin=-14.32389  ;Ymax=-13.21486  ;
"WSM": Xmin=-172.78003  ;Xmax=-171.4292   ;Ymin=-14.0575   ;Ymax=-13.46056  ;
"YEM": Xmin=42.55597    ;Xmax=54.47347    ;Ymin=12.14472   ;Ymax=18.99934   ;
"ZAF": Xmin=14.40931    ;Xmax=37.89222    ;Ymin=-46.96973  ;Ymax=-22.13639  ;
"ZMB": Xmin=21.99639    ;Xmax=33.70228    ;Ymin=-18.07492  ;Ymax=-8.19167   ;
"ZWE": Xmin=25.23792    ;Xmax=33.07159    ;Ymin=-22.41476  ;Ymax=-15.61653  ;
